"21LADY Co., Ltd. (NSE:3346)",NSE:3346,Retail (Grocery and Food),Japan,Japan,Japan,Company
"3-D Matrix, Ltd. (JASDAQ:7777)",JASDAQ:7777,Drugs (Biotechnology),Japan,Japan,Japan,Company
"4Cs Holdings Co.,Ltd. (TSE:3726)",TSE:3726,Retail (Special Lines),Japan,Japan,Japan,Company
A-One Seimitsu Inc. (JASDAQ:6156),JASDAQ:6156,Machinery,Japan,Japan,Japan,Company
"A.D.Works Co.,Ltd. (TSE:3250)",TSE:3250,Real Estate (Operations & Services),Japan,Japan,Japan,Company
A&A Material Corporation (TSE:5391),TSE:5391,Building Materials,Japan,Japan,Japan,Company
"A&D Company, Limited (TSE:7745)",TSE:7745,Electronics (General),Japan,Japan,Japan,Company
A&T Corporation (JASDAQ:6722),JASDAQ:6722,Healthcare Products,Japan,Japan,Japan,Company
"AAP, Inc. (OTCPK:AAPJ)",OTCPK:AAPJ,Farming/Agriculture,Japan,Japan,Japan,Company
"ABC-Mart, Inc. (TSE:2670)",TSE:2670,Retail (Special Lines),Japan,Japan,Japan,Company
"Abist Co.,Ltd. (TSE:6087)",TSE:6087,Business & Consumer Services,Japan,Japan,Japan,Company
"Access Company, Ltd. (TSE:4813)",TSE:4813,Software (Internet),Japan,Japan,Japan,Company
"Accordia Golf Co., Ltd. (TSE:2131)",TSE:2131,Recreation,Japan,Japan,Japan,Company
"Accretive Co., Ltd. (TSE:8423)",TSE:8423,Financial Svcs. (Non-bank & Insurance),Japan,Japan,Japan,Company
Achilles Corporation (TSE:5142),TSE:5142,Chemical (Basic),Japan,Japan,Japan,Company
ACKG Limited (JASDAQ:2498),JASDAQ:2498,Engineering/Construction,Japan,Japan,Japan,Company
Acmos Inc. (JASDAQ:6888),JASDAQ:6888,Software (System & Application),Japan,Japan,Japan,Company
"Acom Co., Ltd. (TSE:8572)",TSE:8572,Financial Svcs. (Non-bank & Insurance),Japan,Japan,Japan,Company
"Acrodea, Inc. (TSE:3823)",TSE:3823,Software (System & Application),Japan,Japan,Japan,Company
Actcall Inc. (TSE:6064),TSE:6064,Real Estate (Operations & Services),Japan,Japan,Japan,Company
Ad-Sol Nissin Corporation (JASDAQ:3837),JASDAQ:3837,Computer Services,Japan,Japan,Japan,Company
"Adastria Co., Ltd. (TSE:2685)",TSE:2685,Retail (Special Lines),Japan,Japan,Japan,Company
Adeka Corporation (TSE:4401),TSE:4401,Chemical (Basic),Japan,Japan,Japan,Company
Aderans Company Limited (TSE:8170),TSE:8170,Household Products,Japan,Japan,Japan,Company
"Adjuvant Cosme Japan Co.,Ltd. (TSE:4929)",TSE:4929,Household Products,Japan,Japan,Japan,Company
"ADORES, Inc. (JASDAQ:4712)",JASDAQ:4712,Recreation,Japan,Japan,Japan,Company
"Adtec Plasma Technology Co., Ltd. (TSE:6668)",TSE:6668,Electronics (General),Japan,Japan,Japan,Company
Advan Co. Ltd. (TSE:7463),TSE:7463,Retail (Distributors),Japan,Japan,Japan,Company
"Advance Create Co., Ltd. (TSE:8798)",TSE:8798,Insurance (Life),Japan,Japan,Japan,Company
Advance Residence Investment Corporation (TSE:3269),TSE:3269,R.E.I.T.,Japan,Japan,Japan,Company
"Advanced Media, Inc. (TSE:3773)",TSE:3773,Software (System & Application),Japan,Japan,Japan,Company
Advanex Inc. (TSE:5998),TSE:5998,Machinery,Japan,Japan,Japan,Company
"Advantage Risk Management Co., Ltd. (JASDAQ:8769)",JASDAQ:8769,Hospitals/Healthcare Facilities,Japan,Japan,Japan,Company
Advantest Corporation (TSE:6857),TSE:6857,Semiconductor Equip,Japan,Japan,Japan,Company
Adventure Inc. (TSE:6030),TSE:6030,Hotel/Gaming,Japan,Japan,Japan,Company
Adways Inc. (TSE:2489),TSE:2489,Advertising,Japan,Japan,Japan,Company
"Aeon Co., Ltd. (TSE:8267)",TSE:8267,Retail (General),Japan,Japan,Japan,Company
Aeon Delight Co Ltd. (TSE:9787),TSE:9787,Environmental & Waste Services,Japan,Japan,Japan,Company
"Aeon Fantasy Co., Ltd. (TSE:4343)",TSE:4343,Recreation,Japan,Japan,Japan,Company
"AEON Financial Service Co., Ltd. (TSE:8570)",TSE:8570,Financial Svcs. (Non-bank & Insurance),Japan,Japan,Japan,Company
Aeon Hokkaido Corporation (TSE:7512),TSE:7512,Retail (Grocery and Food),Japan,Japan,Japan,Company
"Aeon Kyushu Co., Ltd. (JASDAQ:2653)",JASDAQ:2653,Retail (General),Japan,Japan,Japan,Company
"ÁEEEON Mall Co., Ltd. (TSE:8905)",TSE:8905,Real Estate (Operations & Services),Japan,Japan,Japan,Company
AEON REIT Investment Corporation (TSE:3292),TSE:3292,R.E.I.T.,Japan,Japan,Japan,Company
Aeria Inc. (JASDAQ:3758),JASDAQ:3758,Software (Entertainment),Japan,Japan,Japan,Company
